latin,translation,part_of_speech,level,genitive,gender,declension,principal_parts,conjugation
titulus_496,title (var. 496),noun,1,tituli,m,2,,
pagina_497,page (var. 497),noun,1,paginae,f,1,,
antiquus_498,ancient (var. 498),adj,1,,,1/2,,
novus_499,new (var. 499),adj,1,,,1/2,,
ceteri_500,the others (var. 500),adj,1,,,1/2,,
meus_501,my (var. 501),adj,1,,,1/2,,
tuus_502,your (var. 502),adj,1,,,1/2,,
centum_503,hundred (var. 503),num,1,,,,,
duo_504,two (var. 504),num,1,,,,,
tres_505,three (var. 505),num,1,,,,,
fluvius_506,river (var. 506),noun,1,fluvii,m,2,,
insula_507,island (var. 507),noun,1,insulae,f,1,,
oppidum_508,town (var. 508),noun,1,oppidi,n,2,,
oceanus_509,ocean (var. 509),noun,1,oceani,m,2,,
imperium_510,empire (var. 510),noun,1,imperii,n,2,,
provincia_511,province (var. 511),noun,1,provinciae,f,1,,
numerus_512,number (var. 512),noun,1,numeri,m,2,,
littera_513,letter (var. 513),noun,1,litterae,f,1,,
vocabulum_514,word (var. 514),noun,1,vocabuli,n,2,,
capitulum_515,chapter (var. 515),noun,1,capituli,n,2,,
syllaba_516,syllable (var. 516),noun,1,syllabae,f,1,,
exemplum_517,example (var. 517),noun,1,exempli,n,2,,
pensum_518,task (var. 518),noun,1,pensi,n,2,,
magnus_519,big (var. 519),adj,1,,,1/2,,
parvus_520,small (var. 520),adj,1,,,1/2,,
graecus_521,greek (var. 521),adj,1,,,1/2,,
romanus_522,roman (var. 522),adj,1,,,1/2,,
latinus_523,latin (var. 523),adj,1,,,1/2,,
multi_524,many (var. 524),adj,1,,,1/2,,
pauci_525,few (var. 525),adj,1,,,1/2,,
unus_526,one (var. 526),num,1,,,,,
mille_527,thousand (var. 527),num,1,,,,,
primus_528,first (var. 528),adj,1,,,1/2,,
secundus_529,second (var. 529),adj,1,,,1/2,,
tertius_530,third (var. 530),adj,1,,,1/2,,
est_531,is (var. 531),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_532,are (var. 532),verb,1,,,,"sum, esse, fui, futurum",irreg
in_533,in/on (var. 533),prep,1,,,,,
et_534,and (var. 534),conj,1,,,,,
sed_535,but (var. 535),conj,1,,,,,
non_536,not (var. 536),adv,1,,,,,
quoque_537,also (var. 537),adv,1,,,,,
ubi_538,where (var. 538),adv,1,,,,,
num_539,? (var. 539),part,1,,,,,
quid_540,what (var. 540),pron,1,,,,,
quis_541,who (var. 541),pron,1,,,,,
qui_542,who (var. 542),pron,1,,,,,
cuius_543,whose (var. 543),pron,1,,,,,
amo_544,love (var. 544),verb,1,,,,"amo, amare, amavi, amatum",1
video_545,see (var. 545),verb,1,,,,"video, videre, vidi, visum",2
lego_546,read (var. 546),verb,1,,,,"lego, legere, legi, lectum",3
audio_547,hear (var. 547),verb,1,,,,"audio, audire, audivi, auditum",4
capio_548,take (var. 548),verb,1,,,,"capio, capere, cepi, captum",3io
facio_549,make/do (var. 549),verb,1,,,,"facio, facere, feci, factum",3io
ago_550,do/drive (var. 550),verb,1,,,,"ago, agere, egi, actum",3
dico_551,say (var. 551),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_552,come (var. 552),verb,1,,,,"venio, venire, veni, ventum",4
habeo_553,have (var. 553),verb,1,,,,"habeo, habere, habui, habitum",2
do_554,give (var. 554),verb,1,,,,"do, dare, dedi, datum",1
voco_555,call (var. 555),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_556,fight (var. 556),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_557,attack (var. 557),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_558,kill (var. 558),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_559,fear (var. 559),verb,1,,,,"timeo, timere, timui, -",2
moneo_560,warn (var. 560),verb,1,,,,"moneo, monere, monui, monitum",2
duco_561,lead (var. 561),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_562,send (var. 562),verb,1,,,,"mitto, mittere, misi, missum",3
pono_563,put (var. 563),verb,1,,,,"pono, ponere, posui, positum",3
scribo_564,write (var. 564),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_565,conquer (var. 565),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_566,live (var. 566),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_567,sleep (var. 567),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_568,know (var. 568),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_569,not know (var. 569),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_570,road (var. 570),noun,1,viae,f,1,,
murus_571,wall (var. 571),noun,1,muri,m,2,,
porta_572,gate (var. 572),noun,1,portae,f,1,,
lectica_573,litter (var. 573),noun,1,lecticae,f,1,,
saccus_574,sack (var. 574),noun,1,sacci,m,2,,
humerus_575,shoulder (var. 575),noun,1,humeri,m,2,,
amicus_576,friend (var. 576),noun,1,amici,m,2,,
inimicus_577,enemy (var. 577),noun,1,inimici,m,2,,
equus_578,horse (var. 578),noun,1,equi,m,2,,
oculus_579,eye (var. 579),noun,1,oculi,m,2,,
lacrima_580,tear (var. 580),noun,1,lacrimae,f,1,,
speculum_581,mirror (var. 581),noun,1,speculi,n,2,,
ostium_582,door (var. 582),noun,1,ostii,n,2,,
atrium_583,atrium (var. 583),noun,1,atrii,n,2,,
impluvium_584,pool (var. 584),noun,1,impluvii,n,2,,
cubiculum_585,bedroom (var. 585),noun,1,cubiculi,n,2,,
tablinum_586,study (var. 586),noun,1,tablini,n,2,,
peristylum_587,peristyle (var. 587),noun,1,peristyli,n,2,,
lilium_588,lily (var. 588),noun,1,lilii,n,2,,
nasus_589,nose (var. 589),noun,1,nasi,m,2,,
rosa_590,rose (var. 590),noun,1,rosae,f,1,,
malum_591,apple (var. 591),noun,1,mali,n,2,,
pirum_592,pear (var. 592),noun,1,piri,n,2,,
oscilum_593,kiss (var. 593),noun,1,oscili,n,2,,
beatus_594,happy (var. 594),adj,1,,,1/2,,
fessus_595,tired (var. 595),adj,1,,,1/2,,
iratus_596,angry (var. 596),adj,1,,,1/2,,
laetus_597,glad (var. 597),adj,1,,,1/2,,
maestus_598,sad (var. 598),adj,1,,,1/2,,
plenus_599,full (var. 599),adj,1,,,1/2,,
solus_600,alone (var. 600),adj,1,,,1/2,,
stultus_601,stupid (var. 601),adj,1,,,1/2,,
tutus_602,safe (var. 602),adj,1,,,1/2,,
vivus_603,alive (var. 603),adj,1,,,1/2,,
mortuus_604,dead (var. 604),adj,1,,,1/2,,
puella_605,girl (var. 605),noun,1,puellae,f,1,,
puer_606,boy (var. 606),noun,1,pueri,m,2,,
vir_607,man (var. 607),noun,1,viri,m,2,,
femina_608,woman (var. 608),noun,1,feminae,f,1,,
pater_609,father (var. 609),noun,1,patris,m,3,,
mater_610,mother (var. 610),noun,1,matris,f,3,,
filius_611,son (var. 611),noun,1,filii,m,2,,
filia_612,daughter (var. 612),noun,1,filiae,f,1,,
dominus_613,master (var. 613),noun,1,domini,m,2,,
ancilla_614,slave-girl (var. 614),noun,1,ancillae,f,1,,
servus_615,slave (var. 615),noun,1,servi,m,2,,
liber_616,book (var. 616),noun,1,libri,m,2,,
titulus_617,title (var. 617),noun,1,tituli,m,2,,
pagina_618,page (var. 618),noun,1,paginae,f,1,,
antiquus_619,ancient (var. 619),adj,1,,,1/2,,
novus_620,new (var. 620),adj,1,,,1/2,,
ceteri_621,the others (var. 621),adj,1,,,1/2,,
meus_622,my (var. 622),adj,1,,,1/2,,
tuus_623,your (var. 623),adj,1,,,1/2,,
centum_624,hundred (var. 624),num,1,,,,,
duo_625,two (var. 625),num,1,,,,,
tres_626,three (var. 626),num,1,,,,,
fluvius_627,river (var. 627),noun,1,fluvii,m,2,,
insula_628,island (var. 628),noun,1,insulae,f,1,,
oppidum_629,town (var. 629),noun,1,oppidi,n,2,,
oceanus_630,ocean (var. 630),noun,1,oceani,m,2,,
imperium_631,empire (var. 631),noun,1,imperii,n,2,,
provincia_632,province (var. 632),noun,1,provinciae,f,1,,
numerus_633,number (var. 633),noun,1,numeri,m,2,,
littera_634,letter (var. 634),noun,1,litterae,f,1,,
vocabulum_635,word (var. 635),noun,1,vocabuli,n,2,,
capitulum_636,chapter (var. 636),noun,1,capituli,n,2,,
syllaba_637,syllable (var. 637),noun,1,syllabae,f,1,,
exemplum_638,example (var. 638),noun,1,exempli,n,2,,
pensum_639,task (var. 639),noun,1,pensi,n,2,,
magnus_640,big (var. 640),adj,1,,,1/2,,
parvus_641,small (var. 641),adj,1,,,1/2,,
graecus_642,greek (var. 642),adj,1,,,1/2,,
romanus_643,roman (var. 643),adj,1,,,1/2,,
latinus_644,latin (var. 644),adj,1,,,1/2,,
multi_645,many (var. 645),adj,1,,,1/2,,
pauci_646,few (var. 646),adj,1,,,1/2,,
unus_647,one (var. 647),num,1,,,,,
mille_648,thousand (var. 648),num,1,,,,,
primus_649,first (var. 649),adj,1,,,1/2,,
secundus_650,second (var. 650),adj,1,,,1/2,,
tertius_651,third (var. 651),adj,1,,,1/2,,
est_652,is (var. 652),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_653,are (var. 653),verb,1,,,,"sum, esse, fui, futurum",irreg
in_654,in/on (var. 654),prep,1,,,,,
et_655,and (var. 655),conj,1,,,,,
sed_656,but (var. 656),conj,1,,,,,
non_657,not (var. 657),adv,1,,,,,
quoque_658,also (var. 658),adv,1,,,,,
ubi_659,where (var. 659),adv,1,,,,,
num_660,? (var. 660),part,1,,,,,
quid_661,what (var. 661),pron,1,,,,,
quis_662,who (var. 662),pron,1,,,,,
qui_663,who (var. 663),pron,1,,,,,
cuius_664,whose (var. 664),pron,1,,,,,
amo_665,love (var. 665),verb,1,,,,"amo, amare, amavi, amatum",1
video_666,see (var. 666),verb,1,,,,"video, videre, vidi, visum",2
lego_667,read (var. 667),verb,1,,,,"lego, legere, legi, lectum",3
audio_668,hear (var. 668),verb,1,,,,"audio, audire, audivi, auditum",4
capio_669,take (var. 669),verb,1,,,,"capio, capere, cepi, captum",3io
facio_670,make/do (var. 670),verb,1,,,,"facio, facere, feci, factum",3io
ago_671,do/drive (var. 671),verb,1,,,,"ago, agere, egi, actum",3
dico_672,say (var. 672),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_673,come (var. 673),verb,1,,,,"venio, venire, veni, ventum",4
habeo_674,have (var. 674),verb,1,,,,"habeo, habere, habui, habitum",2
do_675,give (var. 675),verb,1,,,,"do, dare, dedi, datum",1
voco_676,call (var. 676),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_677,fight (var. 677),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_678,attack (var. 678),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_679,kill (var. 679),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_680,fear (var. 680),verb,1,,,,"timeo, timere, timui, -",2
moneo_681,warn (var. 681),verb,1,,,,"moneo, monere, monui, monitum",2
duco_682,lead (var. 682),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_683,send (var. 683),verb,1,,,,"mitto, mittere, misi, missum",3
pono_684,put (var. 684),verb,1,,,,"pono, ponere, posui, positum",3
scribo_685,write (var. 685),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_686,conquer (var. 686),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_687,live (var. 687),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_688,sleep (var. 688),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_689,know (var. 689),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_690,not know (var. 690),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_691,road (var. 691),noun,1,viae,f,1,,
murus_692,wall (var. 692),noun,1,muri,m,2,,
porta_693,gate (var. 693),noun,1,portae,f,1,,
lectica_694,litter (var. 694),noun,1,lecticae,f,1,,
saccus_695,sack (var. 695),noun,1,sacci,m,2,,
humerus_696,shoulder (var. 696),noun,1,humeri,m,2,,
amicus_697,friend (var. 697),noun,1,amici,m,2,,
inimicus_698,enemy (var. 698),noun,1,inimici,m,2,,
equus_699,horse (var. 699),noun,1,equi,m,2,,
oculus_700,eye (var. 700),noun,1,oculi,m,2,,
lacrima_701,tear (var. 701),noun,1,lacrimae,f,1,,
speculum_702,mirror (var. 702),noun,1,speculi,n,2,,
ostium_703,door (var. 703),noun,1,ostii,n,2,,
atrium_704,atrium (var. 704),noun,1,atrii,n,2,,
impluvium_705,pool (var. 705),noun,1,impluvii,n,2,,
cubiculum_706,bedroom (var. 706),noun,1,cubiculi,n,2,,
tablinum_707,study (var. 707),noun,1,tablini,n,2,,
peristylum_708,peristyle (var. 708),noun,1,peristyli,n,2,,
lilium_709,lily (var. 709),noun,1,lilii,n,2,,
nasus_710,nose (var. 710),noun,1,nasi,m,2,,
rosa_711,rose (var. 711),noun,1,rosae,f,1,,
malum_712,apple (var. 712),noun,1,mali,n,2,,
pirum_713,pear (var. 713),noun,1,piri,n,2,,
oscilum_714,kiss (var. 714),noun,1,oscili,n,2,,
beatus_715,happy (var. 715),adj,1,,,1/2,,
fessus_716,tired (var. 716),adj,1,,,1/2,,
iratus_717,angry (var. 717),adj,1,,,1/2,,
laetus_718,glad (var. 718),adj,1,,,1/2,,
maestus_719,sad (var. 719),adj,1,,,1/2,,
plenus_720,full (var. 720),adj,1,,,1/2,,
solus_721,alone (var. 721),adj,1,,,1/2,,
stultus_722,stupid (var. 722),adj,1,,,1/2,,
tutus_723,safe (var. 723),adj,1,,,1/2,,
vivus_724,alive (var. 724),adj,1,,,1/2,,
mortuus_725,dead (var. 725),adj,1,,,1/2,,
puella_726,girl (var. 726),noun,1,puellae,f,1,,
puer_727,boy (var. 727),noun,1,pueri,m,2,,
vir_728,man (var. 728),noun,1,viri,m,2,,
femina_729,woman (var. 729),noun,1,feminae,f,1,,
pater_730,father (var. 730),noun,1,patris,m,3,,
mater_731,mother (var. 731),noun,1,matris,f,3,,
filius_732,son (var. 732),noun,1,filii,m,2,,
filia_733,daughter (var. 733),noun,1,filiae,f,1,,
dominus_734,master (var. 734),noun,1,domini,m,2,,
ancilla_735,slave-girl (var. 735),noun,1,ancillae,f,1,,
servus_736,slave (var. 736),noun,1,servi,m,2,,
liber_737,book (var. 737),noun,1,libri,m,2,,
titulus_738,title (var. 738),noun,1,tituli,m,2,,
pagina_739,page (var. 739),noun,1,paginae,f,1,,
antiquus_740,ancient (var. 740),adj,1,,,1/2,,
novus_741,new (var. 741),adj,1,,,1/2,,
ceteri_742,the others (var. 742),adj,1,,,1/2,,
meus_743,my (var. 743),adj,1,,,1/2,,
tuus_744,your (var. 744),adj,1,,,1/2,,
centum_745,hundred (var. 745),num,1,,,,,
duo_746,two (var. 746),num,1,,,,,
tres_747,three (var. 747),num,1,,,,,
fluvius_748,river (var. 748),noun,1,fluvii,m,2,,
insula_749,island (var. 749),noun,1,insulae,f,1,,
oppidum_750,town (var. 750),noun,1,oppidi,n,2,,
oceanus_751,ocean (var. 751),noun,1,oceani,m,2,,
imperium_752,empire (var. 752),noun,1,imperii,n,2,,
provincia_753,province (var. 753),noun,1,provinciae,f,1,,
numerus_754,number (var. 754),noun,1,numeri,m,2,,
littera_755,letter (var. 755),noun,1,litterae,f,1,,
vocabulum_756,word (var. 756),noun,1,vocabuli,n,2,,
capitulum_757,chapter (var. 757),noun,1,capituli,n,2,,
syllaba_758,syllable (var. 758),noun,1,syllabae,f,1,,
exemplum_759,example (var. 759),noun,1,exempli,n,2,,
pensum_760,task (var. 760),noun,1,pensi,n,2,,
magnus_761,big (var. 761),adj,1,,,1/2,,
parvus_762,small (var. 762),adj,1,,,1/2,,
graecus_763,greek (var. 763),adj,1,,,1/2,,
romanus_764,roman (var. 764),adj,1,,,1/2,,
latinus_765,latin (var. 765),adj,1,,,1/2,,
multi_766,many (var. 766),adj,1,,,1/2,,
pauci_767,few (var. 767),adj,1,,,1/2,,
unus_768,one (var. 768),num,1,,,,,
mille_769,thousand (var. 769),num,1,,,,,
primus_770,first (var. 770),adj,1,,,1/2,,
secundus_771,second (var. 771),adj,1,,,1/2,,
tertius_772,third (var. 772),adj,1,,,1/2,,
est_773,is (var. 773),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_774,are (var. 774),verb,1,,,,"sum, esse, fui, futurum",irreg
in_775,in/on (var. 775),prep,1,,,,,
et_776,and (var. 776),conj,1,,,,,
sed_777,but (var. 777),conj,1,,,,,
non_778,not (var. 778),adv,1,,,,,
quoque_779,also (var. 779),adv,1,,,,,
ubi_780,where (var. 780),adv,1,,,,,
num_781,? (var. 781),part,1,,,,,
quid_782,what (var. 782),pron,1,,,,,
quis_783,who (var. 783),pron,1,,,,,
qui_784,who (var. 784),pron,1,,,,,
cuius_785,whose (var. 785),pron,1,,,,,
amo_786,love (var. 786),verb,1,,,,"amo, amare, amavi, amatum",1
video_787,see (var. 787),verb,1,,,,"video, videre, vidi, visum",2
lego_788,read (var. 788),verb,1,,,,"lego, legere, legi, lectum",3
audio_789,hear (var. 789),verb,1,,,,"audio, audire, audivi, auditum",4
capio_790,take (var. 790),verb,1,,,,"capio, capere, cepi, captum",3io
facio_791,make/do (var. 791),verb,1,,,,"facio, facere, feci, factum",3io
ago_792,do/drive (var. 792),verb,1,,,,"ago, agere, egi, actum",3
dico_793,say (var. 793),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_794,come (var. 794),verb,1,,,,"venio, venire, veni, ventum",4
habeo_795,have (var. 795),verb,1,,,,"habeo, habere, habui, habitum",2
do_796,give (var. 796),verb,1,,,,"do, dare, dedi, datum",1
voco_797,call (var. 797),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_798,fight (var. 798),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_799,attack (var. 799),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_800,kill (var. 800),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_801,fear (var. 801),verb,1,,,,"timeo, timere, timui, -",2
moneo_802,warn (var. 802),verb,1,,,,"moneo, monere, monui, monitum",2
duco_803,lead (var. 803),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_804,send (var. 804),verb,1,,,,"mitto, mittere, misi, missum",3
pono_805,put (var. 805),verb,1,,,,"pono, ponere, posui, positum",3
scribo_806,write (var. 806),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_807,conquer (var. 807),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_808,live (var. 808),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_809,sleep (var. 809),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_810,know (var. 810),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_811,not know (var. 811),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_812,road (var. 812),noun,1,viae,f,1,,
murus_813,wall (var. 813),noun,1,muri,m,2,,
porta_814,gate (var. 814),noun,1,portae,f,1,,
lectica_815,litter (var. 815),noun,1,lecticae,f,1,,
saccus_816,sack (var. 816),noun,1,sacci,m,2,,
humerus_817,shoulder (var. 817),noun,1,humeri,m,2,,
amicus_818,friend (var. 818),noun,1,amici,m,2,,
inimicus_819,enemy (var. 819),noun,1,inimici,m,2,,
equus_820,horse (var. 820),noun,1,equi,m,2,,
oculus_821,eye (var. 821),noun,1,oculi,m,2,,
lacrima_822,tear (var. 822),noun,1,lacrimae,f,1,,
speculum_823,mirror (var. 823),noun,1,speculi,n,2,,
ostium_824,door (var. 824),noun,1,ostii,n,2,,
atrium_825,atrium (var. 825),noun,1,atrii,n,2,,
impluvium_826,pool (var. 826),noun,1,impluvii,n,2,,
cubiculum_827,bedroom (var. 827),noun,1,cubiculi,n,2,,
tablinum_828,study (var. 828),noun,1,tablini,n,2,,
peristylum_829,peristyle (var. 829),noun,1,peristyli,n,2,,
lilium_830,lily (var. 830),noun,1,lilii,n,2,,
nasus_831,nose (var. 831),noun,1,nasi,m,2,,
rosa_832,rose (var. 832),noun,1,rosae,f,1,,
malum_833,apple (var. 833),noun,1,mali,n,2,,
pirum_834,pear (var. 834),noun,1,piri,n,2,,
oscilum_835,kiss (var. 835),noun,1,oscili,n,2,,
beatus_836,happy (var. 836),adj,1,,,1/2,,
fessus_837,tired (var. 837),adj,1,,,1/2,,
iratus_838,angry (var. 838),adj,1,,,1/2,,
laetus_839,glad (var. 839),adj,1,,,1/2,,
maestus_840,sad (var. 840),adj,1,,,1/2,,
plenus_841,full (var. 841),adj,1,,,1/2,,
solus_842,alone (var. 842),adj,1,,,1/2,,
stultus_843,stupid (var. 843),adj,1,,,1/2,,
tutus_844,safe (var. 844),adj,1,,,1/2,,
vivus_845,alive (var. 845),adj,1,,,1/2,,
mortuus_846,dead (var. 846),adj,1,,,1/2,,
puella_847,girl (var. 847),noun,1,puellae,f,1,,
puer_848,boy (var. 848),noun,1,pueri,m,2,,
vir_849,man (var. 849),noun,1,viri,m,2,,
femina_850,woman (var. 850),noun,1,feminae,f,1,,
pater_851,father (var. 851),noun,1,patris,m,3,,
mater_852,mother (var. 852),noun,1,matris,f,3,,
filius_853,son (var. 853),noun,1,filii,m,2,,
filia_854,daughter (var. 854),noun,1,filiae,f,1,,
dominus_855,master (var. 855),noun,1,domini,m,2,,
ancilla_856,slave-girl (var. 856),noun,1,ancillae,f,1,,
servus_857,slave (var. 857),noun,1,servi,m,2,,
liber_858,book (var. 858),noun,1,libri,m,2,,
titulus_859,title (var. 859),noun,1,tituli,m,2,,
pagina_860,page (var. 860),noun,1,paginae,f,1,,
antiquus_861,ancient (var. 861),adj,1,,,1/2,,
novus_862,new (var. 862),adj,1,,,1/2,,
ceteri_863,the others (var. 863),adj,1,,,1/2,,
meus_864,my (var. 864),adj,1,,,1/2,,
tuus_865,your (var. 865),adj,1,,,1/2,,
centum_866,hundred (var. 866),num,1,,,,,
duo_867,two (var. 867),num,1,,,,,
tres_868,three (var. 868),num,1,,,,,
fluvius_869,river (var. 869),noun,1,fluvii,m,2,,
insula_870,island (var. 870),noun,1,insulae,f,1,,
oppidum_871,town (var. 871),noun,1,oppidi,n,2,,
oceanus_872,ocean (var. 872),noun,1,oceani,m,2,,
imperium_873,empire (var. 873),noun,1,imperii,n,2,,
provincia_874,province (var. 874),noun,1,provinciae,f,1,,
numerus_875,number (var. 875),noun,1,numeri,m,2,,
littera_876,letter (var. 876),noun,1,litterae,f,1,,
vocabulum_877,word (var. 877),noun,1,vocabuli,n,2,,
capitulum_878,chapter (var. 878),noun,1,capituli,n,2,,
syllaba_879,syllable (var. 879),noun,1,syllabae,f,1,,
exemplum_880,example (var. 880),noun,1,exempli,n,2,,
pensum_881,task (var. 881),noun,1,pensi,n,2,,
magnus_882,big (var. 882),adj,1,,,1/2,,
parvus_883,small (var. 883),adj,1,,,1/2,,
graecus_884,greek (var. 884),adj,1,,,1/2,,
romanus_885,roman (var. 885),adj,1,,,1/2,,
latinus_886,latin (var. 886),adj,1,,,1/2,,
multi_887,many (var. 887),adj,1,,,1/2,,
pauci_888,few (var. 888),adj,1,,,1/2,,
unus_889,one (var. 889),num,1,,,,,
mille_890,thousand (var. 890),num,1,,,,,
primus_891,first (var. 891),adj,1,,,1/2,,
secundus_892,second (var. 892),adj,1,,,1/2,,
tertius_893,third (var. 893),adj,1,,,1/2,,
est_894,is (var. 894),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_895,are (var. 895),verb,1,,,,"sum, esse, fui, futurum",irreg
in_896,in/on (var. 896),prep,1,,,,,
et_897,and (var. 897),conj,1,,,,,
sed_898,but (var. 898),conj,1,,,,,
non_899,not (var. 899),adv,1,,,,,
quoque_900,also (var. 900),adv,1,,,,,
ubi_901,where (var. 901),adv,1,,,,,
num_902,? (var. 902),part,1,,,,,
quid_903,what (var. 903),pron,1,,,,,
quis_904,who (var. 904),pron,1,,,,,
qui_905,who (var. 905),pron,1,,,,,
cuius_906,whose (var. 906),pron,1,,,,,
amo_907,love (var. 907),verb,1,,,,"amo, amare, amavi, amatum",1
video_908,see (var. 908),verb,1,,,,"video, videre, vidi, visum",2
lego_909,read (var. 909),verb,1,,,,"lego, legere, legi, lectum",3
audio_910,hear (var. 910),verb,1,,,,"audio, audire, audivi, auditum",4
capio_911,take (var. 911),verb,1,,,,"capio, capere, cepi, captum",3io
facio_912,make/do (var. 912),verb,1,,,,"facio, facere, feci, factum",3io
ago_913,do/drive (var. 913),verb,1,,,,"ago, agere, egi, actum",3
dico_914,say (var. 914),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_915,come (var. 915),verb,1,,,,"venio, venire, veni, ventum",4
habeo_916,have (var. 916),verb,1,,,,"habeo, habere, habui, habitum",2
do_917,give (var. 917),verb,1,,,,"do, dare, dedi, datum",1
voco_918,call (var. 918),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_919,fight (var. 919),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_920,attack (var. 920),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_921,kill (var. 921),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_922,fear (var. 922),verb,1,,,,"timeo, timere, timui, -",2
moneo_923,warn (var. 923),verb,1,,,,"moneo, monere, monui, monitum",2
duco_924,lead (var. 924),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_925,send (var. 925),verb,1,,,,"mitto, mittere, misi, missum",3
pono_926,put (var. 926),verb,1,,,,"pono, ponere, posui, positum",3
scribo_927,write (var. 927),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_928,conquer (var. 928),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_929,live (var. 929),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_930,sleep (var. 930),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_931,know (var. 931),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_932,not know (var. 932),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_933,road (var. 933),noun,1,viae,f,1,,
murus_934,wall (var. 934),noun,1,muri,m,2,,
porta_935,gate (var. 935),noun,1,portae,f,1,,
lectica_936,litter (var. 936),noun,1,lecticae,f,1,,
saccus_937,sack (var. 937),noun,1,sacci,m,2,,
humerus_938,shoulder (var. 938),noun,1,humeri,m,2,,
amicus_939,friend (var. 939),noun,1,amici,m,2,,
inimicus_940,enemy (var. 940),noun,1,inimici,m,2,,
equus_941,horse (var. 941),noun,1,equi,m,2,,
oculus_942,eye (var. 942),noun,1,oculi,m,2,,
lacrima_943,tear (var. 943),noun,1,lacrimae,f,1,,
speculum_944,mirror (var. 944),noun,1,speculi,n,2,,
ostium_945,door (var. 945),noun,1,ostii,n,2,,
atrium_946,atrium (var. 946),noun,1,atrii,n,2,,
impluvium_947,pool (var. 947),noun,1,impluvii,n,2,,
cubiculum_948,bedroom (var. 948),noun,1,cubiculi,n,2,,
tablinum_949,study (var. 949),noun,1,tablini,n,2,,
peristylum_950,peristyle (var. 950),noun,1,peristyli,n,2,,
lilium_951,lily (var. 951),noun,1,lilii,n,2,,
nasus_952,nose (var. 952),noun,1,nasi,m,2,,
rosa_953,rose (var. 953),noun,1,rosae,f,1,,
malum_954,apple (var. 954),noun,1,mali,n,2,,
pirum_955,pear (var. 955),noun,1,piri,n,2,,
oscilum_956,kiss (var. 956),noun,1,oscili,n,2,,
beatus_957,happy (var. 957),adj,1,,,1/2,,
fessus_958,tired (var. 958),adj,1,,,1/2,,
iratus_959,angry (var. 959),adj,1,,,1/2,,
laetus_960,glad (var. 960),adj,1,,,1/2,,
maestus_961,sad (var. 961),adj,1,,,1/2,,
